orbit_idx,duration,duration,duration,duration,duration,stm_entry,stm_entry,stm_entry,stm_entry,stm_exit,stm_exit,stm_exit,stm_exit,dstm_entry,dstm_entry,dstm_entry,dstm_entry,dstm_exit,dstm_exit,dstm_exit,dstm_exit,avg_exp_rate,avg_exp_rate,avg_exp_rate,avg_exp_rate
,count,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max,mean,median,min,max
3,73,1.0238656648913778,0.8747068654459431,0.5316106380511982,5.500850502955306,54939.26931364436,41.59385081345691,2.4770260772699806,2773306.4199319226,145169.4002771574,237.3463396355678,25.07129116640626,5900921.623711382,4037.4197919660332,82.22588862377582,-232286.65721569728,250464.223192105,148591.39382058723,67.51230820785725,-676361.0846306882,11870138.390498046,1.8019857210821577,2.3722542090085006,-2.008680728701802,2.976950087396391
4,77,0.7568486351991682,0.7917605247571036,0.5127591969855527,0.8483148479540397,255027.67918436404,44.40732971400036,2.4773179323281638,19511918.41695538,138594.13904660326,215.3628427205265,20.43927996032193,10636900.084332978,-398508.49545662693,62.73938294804775,-29205897.219204165,36470.86062690584,-65548.23209882108,66.88760471577731,-5070438.153489547,3897.736438462664,1.6315710347779533,2.289817280887375,-5.541112580057089,2.6515265978250877
7,80,0.6717711023742712,0.6786518783632318,0.5843946730350051,0.68619245478949,27899.915807483096,41.77578490429323,2.449489742783178,2222391.251004305,54013.73960359489,170.89075367413068,17.015140085601054,4302062.722456627,36000.53949393177,74.69545002116661,-3947.2763680942408,2871451.858527075,49024.612580099856,60.879726813519724,0.5174553923873921,3905292.960262829,2.044021104717348,2.0774267786129927,-0.3764285369229516,3.167969198153809
