orbit_idx,t_entry,t_exit,duration,r_entry,r_exit,v_entry,v_exit,stm_entry,stm_exit,dstm_entry,dstm_exit,Phi_growth_ratio,log_Phi_growth,dPhi_rate_ratio,dPhi_rate_delta,avg_exp_rate
7,1.3723849095789795,2.0548070761553405,0.682422166576361,0.1602525506721802,0.1582990201068569,0.3395710313573212,0.3410621441455391,7.918811955046859,68.79517369864925,9.764355099397966,16.296033672733348,8.687562489068117,2.1618924038512994,1.6689308722230003,6.531678573335382,3.167969198153809
7,1.489263844185981,2.171686010762341,0.6824221665763608,0.1596135336442334,0.1589235170567207,0.3403968345088711,0.3400601013922808,9.280294703766472,79.81405301734065,13.890100893244936,20.298639821027503,8.600379143665293,2.1518062887603904,1.4613745412676722,6.408538927782567,3.1531893220230125
7,1.3610740449395924,2.039725923302824,0.6786518783632318,0.1596287618532988,0.1581725671100647,0.3406800312472319,0.3442767250571568,7.80937411014116,66.21054176936553,9.521034249889054,10.479514281704956,8.478341648837812,2.1375148704008473,1.100669738881264,0.9584800318159026,3.149648499546029
7,1.2592762631851078,1.9416984297614683,0.6824221665763606,0.159702735394563,0.1588645086631002,0.3403156418767123,0.340402127186316,6.896198373468788,58.82573375105002,7.542408535265163,14.583190320325846,8.530168444307769,2.143609108589711,1.933492498071527,7.040781785060683,3.1411774317706738
7,1.4741826913334644,2.152834569696696,0.6786518783632316,0.1595855866916513,0.1582789630141993,0.3407589746176642,0.3444542995014428,9.102344765750573,76.37100963933463,13.28044059766407,11.423959980088664,8.390256753039735,2.1270711222802117,0.8602094106800985,-1.8564806175754054,3.1342595373201774
7,1.2479653985457204,1.926617276908952,0.6786518783632318,0.1595947474197335,0.1581606791790661,0.3407084681255389,0.3440571224568334,6.808348378582886,56.815370139214544,7.351174512726331,9.265060179824248,8.344956365326343,2.121657328259666,1.2603510042898047,1.913885667097917,3.1262822603197757
7,1.6023724905798526,2.284794657156213,0.6824221665763606,0.1603525241121818,0.1581675660979552,0.3393895194656384,0.3409416474805903,10.995073596447316,91.29079192242295,19.578575896327077,20.71101477866123,8.302881387889979,2.1166026097256068,1.0578407177483526,1.132438882334153,3.101602956926761
7,1.1423973285781066,1.8285897833675964,0.6861924547894898,0.1604729429414567,0.1593743781622834,0.3393095582637276,0.3398069321275477,6.066240158831378,50.0527732495435,6.274876920480218,12.666813591433458,8.251037205751816,2.1103389143535636,2.0186553062245665,6.39193667095324,3.0754329920473604
7,1.1348567521518484,1.8135086305150805,0.6786518783632318,0.1595075708688614,0.158213173995091,0.3408109350928408,0.3438063139846292,6.019843447761796,48.482865553368974,6.280776261058555,7.936354691640673,8.053841594733683,2.086149194335882,1.2635945561135287,1.6555784305821186,3.0739606871305547
7,1.5872913377273363,2.265943216090568,0.6786518783632318,0.1594309417337109,0.1585237962231186,0.3409931805153711,0.3445785313353199,10.802912962400535,86.7825673639472,19.157219834611865,12.048155155112314,8.033256184326703,2.0835899481716007,0.628909375114263,-7.109064679499552,3.0701896135567903
